RealShit,AAMC3_CP,AAMC3_CARS,AAMC3_BB,AAMC3_PS,AAMC2_CP,AAMC2_CARS,AAMC2_BB,AAMC2_PS,AAMC1_CP,AAMC1_CARS,AAMC1_BB,AAMC1_PS,AAMCsamp_CP,AAMCsamp_CARS,AAMCsamp_BB,AAMCsamp_PS
513,124,128,128,130,126,128,126,130,,,,,,,,
519,131,129,131,130,130,131,130,128,,,,,80,85,90,83
525,131,131,132,132,131,129,131,129,130,128,130,131,92,100,90,93
516,132,128,131,131,130,126,128,130,128,125,128,129,59,89,75,78
522,132,127,132,132,132,126,131,129,130,127,131,129,90,89,92,86
515,,,,,,,,,,,,,,,,
505,,,,,123,,,,,,,,,,,
516,132,130,129,129,,,,,,,,,,,,
522,130,128,132,132,131,130,132,130,,,,,,,,
516,131,127,131,127,131,128,130,127,131,125,131,127,,,,
516,,,,,,,,,,,,,,,,
518,,,,,130,127,130,127,131,127,131,130,,,,
514,129,127,126,128,128,127,127,126,126,127,126,127,,,,
518,131,127,130,129,130,128,130,127,130,125,130,130,,,,
526,131,132,132,131,131,132,130,129,130,129,130,130,86,96,81,92
515,129,129,127,128,129,124,129,126,130,126,128,127,65,66,69,64
519,132,127,131,130,129,130,130,129,129,128,131,129,85,89,76,95
514,127,130,126,127,126,132,128,130,125,131,127,127,73,92,64,78
513,128,129,129,129,,,,,,,,,,,,
519,129,130,128,132,128,130,131,128,126,130,130,130,,,,
511,128,125,130,124,129,126,129,125,127,122,129,127,,,,
523,132,130,132,131,132,128,132,128,132,128,132,130,,,,
515,127,126,127,126,128,123,128,127,126,126,130,127,73,85,75,86
520,,,,,,,,,,,,,,,,
505,,,,,,,,,,,,,,,,
515,,,,,,,,,,,,,,,,
515,,,,,,,,,,,,,,,,
523,131,128,130,129,130,129,131,130,132,126,131,129,,,,
522,129,128,130,131,130,131,129,130,128,132,130,128,75,92,75,81
511,,,,,,,,,,,,,,,,
523,129,128,130,129,132,131,132,128,132,131,130,129,,,,
514,128,128,130,129,127,124,127,130,126,124,128,129,53,79,71,76
515,,,,,,,,,,,,,,,,
522,131,129,129,131,130,130,130,129,130,127,130,128,,,,
522,128,128,131,131,129,128,130,129,128,128,131,129,76,94,94,93
515,,,,,,,,,,,,,,,,
522,,,,,,,,,,,,,,,,
511,,,,,,,,,,,,,,,,
511,128,129,128,126,127,124,127,124,126,125,130,127,73,91,88,81
507,127,128,127,125,127,127,127,127,124,128,127,124,68,91,75,78
503,,,,,,,,,,,,,,,,
516,,,,,128,124,127,127,127,122,128,127,64,85,73,78
515,127,128,130,129,128,126,129,128,127,126,129,130,70,80,90,85
512,127,130,128,130,127,130,126,127,126,130,125,129,61,87,73,88
520,132,126,131,128,131,130,132,129,129,127,125,127,85,92,85,81
511,128,125,130,127,130,127,128,126,127,125,127,126,88,79,71,78
496,,,,,,,,,,,,,,,,
518,130,128,128,132,131,127,130,126,132,127,130,126,83,85,86,78
512,127,125,131,128,129,124,130,126,127,125,128,126,78,73,78,83
520,129,126,131,132,131,130,128,128,126,128,131,129,,,,
505,,,,,,,,,,,,,,,,
510,128,127,130,127,128,126,130,125,127,125,130,125,76,77,90,79
512,128,127,127,128,127,128,127,127,124,126,128,127,71,87,76,83
516,130,126,129,129,130,128,129,127,128,128,125,129,,,,
514,129,130,129,125,128,131,131,130,126,131,129,124,,,,
515,,,,,130,128,128,126,126,126,125,125,,,,
506,128,125,126,128,124,126,127,125,124,125,125,124,,,,
495,,,,,,,,,,,,,,,,
516,127,130,131,131,128,129,128,129,128,127,128,130,71,89,81,92
487,,,,,,,,,,,,,,,,
515,,,,,,,,,,,,,,,,
513,,,,,124,127,124,128,127,132,128,128,,,,
524,130,130,130,130,129,132,130,130,130,131,131,130,76,96,88,88
509,127,128,128,130,,,,,,,,,,,,
520,128,130,132,131,130,129,129,127,126,127,127,128,69,87,75,76
484,,,,,,,,,,,,,,,,
484,,,,,,,,,,,,,,,,
517,130,130,128,126,129,130,125,127,127,127,125,127,,,,
506,126,127,126,127,124,127,126,127,124,131,126,127,,,,
500,,,,,,,,,,,,,,,,
507,127,127,128,127,124,127,126,126,127,128,127,128,,,,
513,129,127,130,129,129,125,129,127,127,126,130,128,,,,
515,130,130,130,128,128,130,129,128,,,,,,,,
522,,,,,,,,,,,,,,,,
510,127,125,127,127,127,129,126,127,127,125,126,129,,,,
514,127,131,130,128,128,129,131,127,129,128,129,128,,,,
511,125,128,128,129,,,,,126,126,127,131,,,,
